No errors
No warnings
201 ms
data source=metars
4716 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYZE 141729Z AUTO 17008KT 2 1/2SM BR OVC004 17/16 A2994 RMK VIS VRB 1 3/4-3 SLP141 DENSITY ALT 900FT,CYZE,2015-06-14T17:29:00Z,45.87,-82.57,17.0,16.0,170,8,,2.5,29.940945,1014.1,,TRUE,,,,,,,BR,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,193.0
CYAY 141729Z AUTO 33019G25KT 5SM BR OVC027 07/05 A2963 RMK SLP035,CYAY,2015-06-14T17:29:00Z,51.38,-56.07,7.0,5.0,330,19,25,5.0,29.630905,1003.5,,TRUE,,,,,,,BR,OVC,2700,,,,,,,MVFR,,,,,,,,,,,,SPECI,28.0
CYPO 141728Z AUTO 24008G16KT 9SM FEW055 BKN078 OVC097 22/13 A2970 RMK SLP057 DENSITY ALT 1200FT,CYPO,2015-06-14T17:28:00Z,54.98,-85.43,22.0,13.0,240,8,16,9.0,29.698818,1005.7,,TRUE,,,,,,,,FEW,5500,BKN,7800,OVC,9700,,,VFR,,,,,,,,,,,,SPECI,53.0
CYZR 141728Z AUTO 24008KT 9SM SCT011 BKN110 BKN130 23/21 A2995 RMK SLP140 DENSITY ALT 1600FT,CYZR,2015-06-14T17:28:00Z,43.0,-82.3,23.0,21.0,240,8,,9.0,29.949802,1014.0,,TRUE,,,,,,,,SCT,1100,BKN,11000,BKN,13000,,,VFR,,,,,,,,,,,,SPECI,181.0
UMMS 141727Z 23001MPS 2300 -TSRA BKN030CB OVC076 20/19 Q1005 R13/290062 NOSIG,UMMS,2015-06-14T17:27:00Z,53.88,28.03,20.0,19.0,230,2,,1.43,29.675198,,,,,,TRUE,,,,-TSRA,BKN,3000,OVC,7600,,,,,IFR,,,,,,,,,,,,SPECI,205.0
PAVC 141726Z AUTO 29016G22KT OVC003 07/06 A3053 RMK AO2 TSNO CIG 002V006 $,PAVC,2015-06-14T17:26:00Z,55.12,-162.27,7.0,6.0,290,16,22,,30.528543,,,TRUE,TRUE,TRUE,,TRUE,,,,OVC,300,,,,,,,,,,,,,,,,,,,SPECI,47.0
PAOU 141726Z AUTO 04005KT 4SM BR OVC004 06/06 A3058 RMK AO2 TSNO RAB05E17 P0000 $,PAOU,2015-06-14T17:26:00Z,56.0,-161.17,6.0,6.0,40,5,,4.0,30.578741,,,TRUE,TRUE,TRUE,,TRUE,,,BR,OVC,400,,,,,,,LIFR,,,,,,0.0050,,,,,,SPECI,4.0
KTUL 141726Z 16014G20KT 1 1/2SM R36R/3000VP6000FT +RA BKN027 BKN032 OVC040 26/23 A2994 RMK AO2 RAB22 P0004 T02610233,KTUL,2015-06-14T17:26:00Z,36.2,-95.88,26.1,23.3,160,14,20,1.5,29.940945,,,,TRUE,,,,,,+RA,BKN,2700,BKN,3200,OVC,4000,,,IFR,,,,,,0.04,,,,,,SPECI,207.0
KRBD 141726Z 16012G19KT 10SM -RA SCT029 SCT037 BKN055 29/23 A2993 RMK AO2 LTG DSNT SE RAB13 P0000 T02890228,KRBD,2015-06-14T17:26:00Z,32.68,-96.87,28.9,22.8,160,12,19,10.0,29.929134,,,,TRUE,,,,,,-RA,SCT,2900,SCT,3700,BKN,5500,,,VFR,,,,,,0.0050,,,,,,SPECI,203.0
KJST 141726Z AUTO 23006KT 9SM FEW010 BKN015 OVC026 24/20 A3014 RMK AO2 LTG DSNT E AND SE TSE02 T02390200,KJST,2015-06-14T17:26:00Z,40.32,-78.83,23.9,20.0,230,6,,9.0,30.138779,,,TRUE,TRUE,,,,,,,FEW,1000,BKN,1500,OVC,2600,,,MVFR,,,,,,,,,,,,SPECI,694.0
KELZ 141726Z AUTO 18007KT 9SM OVC014 23/19 A3010 RMK AO2 T02330189,KELZ,2015-06-14T17:26:00Z,42.1,-77.98,23.3,18.9,180,7,,9.0,30.100393,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,SPECI,646.0
KCUT 141726Z AUTO 09003KT 10SM BKN023 18/ A3006 RMK AO2 T0183 $,KCUT,2015-06-14T17:26:00Z,43.73,-103.62,18.3,,90,3,,10.0,30.059055,,,TRUE,TRUE,TRUE,,,,,,BKN,2300,,,,,,,MVFR,,,,,,,,,,,,SPECI,1725.0
KARB 141726Z 20005KT 10SM SCT020 BKN029 OVC065 26/23 A2994 RMK AO2 T02610228,KARB,2015-06-14T17:26:00Z,42.22,-83.73,26.1,22.8,200,5,,10.0,29.940945,,,,TRUE,,,,,,,SCT,2000,BKN,2900,OVC,6500,,,MVFR,,,,,,,,,,,,SPECI,251.0
CYXU 141726Z 18007KT 2SM -SHRA BR OVC005 21/21 A2998 RMK ST8 CVCTV CLD EMBD CIG RAG SLP149 DENSITY ALT 1700FT,CYXU,2015-06-14T17:26:00Z,43.02,-81.15,21.0,21.0,180,7,,2.0,29.97933,1014.9,,,,,,,,,-SHRA BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,278.0
KBVE 141726Z AUTO 12012G20KT 10SM FEW003 SCT026 30/24 A3006 RMK AO2 T03000244,KBVE,2015-06-14T17:26:00Z,29.32,-89.4,30.0,24.4,120,12,20,10.0,30.059055,,,TRUE,TRUE,,,,,,,FEW,300,SCT,2600,,,,,VFR,,,,,,,,,,,,SPECI,1.0
CWUW 141726Z AUTO 03003KT 2 1/2SM -UP BKN012 BKN025 BKN060 BKN076 00/ A2991 RMK VSBY VRBL 1.3V9.+,CWUW,2015-06-14T17:26:00Z,68.65,-71.17,0.0,,30,3,,2.5,29.911417,,,TRUE,,,,,,,UP,BKN,1200,BKN,2500,BKN,6000,BKN,7600,IFR,,,,,,,,,,,,SPECI,527.0
EHKD 141725Z AUTO 02006KT 9999 FEW009 OVC038 13/12 Q1013 BLU 01005KT 9999 SCT015 BKN025 TEMPO 5000 BR SCT012 BKN015,EHKD,2015-06-14T17:25:00Z,52.92,4.77,13.0,12.0,20,6,,6.21,29.911417,,,TRUE,,,,,,,,FEW,900,OVC,3800,SCT,1500,BKN,2500,VFR,,,,,,,,,,,,METAR,14.0
CYPH 141725Z AUTO 17017G24KT 9SM -RA BKN070 OVC089 12/04 A2998 RMK SLP155,CYPH,2015-06-14T17:25:00Z,58.45,-78.08,12.0,4.0,170,17,24,9.0,29.97933,1015.5,,TRUE,,,,,,,-RA,BKN,7000,OVC,8900,,,,,VFR,,,,,,,,,,,,SPECI,3.0
CWZZ 141725Z AUTO 03017KT M01/ A3006,CWZZ,2015-06-14T17:25:00Z,58.32,-62.57,-1.0,,30,17,,,30.059055,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,483.0
YBAS 141725Z AUTO 10006KT 6000 // OVC002 13/13 Q1018,YBAS,2015-06-14T17:25:00Z,-23.8,133.9,13.0,13.0,100,6,,3.73,30.059055,,,TRUE,,,,,,,,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,541.0
OPLA 141725Z 36026KT 3000 TSRA FEW030CB SCT040 BKN100 27/23 Q1002 TEMPO 33045KT 0800 DSTSRA FEW030CB,OPLA,2015-06-14T17:25:00Z,31.52,74.4,27.0,23.0,360,26,,1.86,29.586615,,,,,,,,,,TSRA,FEW,3000,SCT,4000,BKN,10000,,,IFR,,,,,,,,,,,,METAR,217.0
OPKC 141725Z 25015KT 6000 SCT020 30/24 Q1001 TEMPO 23020G30KT,OPKC,2015-06-14T17:25:00Z,24.88,67.17,30.0,24.0,250,15,,3.73,29.557087,,,,,,,,,,,SCT,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,22.0
EHQE 141725Z AUTO 01010KT 9999 ///////// 13/11 Q1013,EHQE,2015-06-14T17:25:00Z,52.92,4.15,13.0,11.0,10,10,,6.21,29.911417,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHPG 141725Z AUTO 02010KT 340V050 9999 FEW004/// SCT007/// BKN010/// 13/11 Q1013,EHPG,2015-06-14T17:25:00Z,52.37,3.35,13.0,11.0,20,10,,6.21,29.911417,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHMG 141725Z AUTO 04023KT 9999 FEW005/// SCT008/// BKN016/// 11/07 Q1014,EHMG,2015-06-14T17:25:00Z,53.62,4.97,11.0,7.0,40,23,,6.21,29.940945,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHMA 141725Z AUTO 02018KT 9999 FEW004/// SCT005/// BKN007/// 11/10 Q1014,EHMA,2015-06-14T17:25:00Z,53.5,5.95,11.0,10.0,20,18,,6.21,29.940945,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHKV 141725Z AUTO 04025KT 9999 FEW005/// BKN007/// BKN008/// 12/10 Q1014,EHKV,2015-06-14T17:25:00Z,53.27,3.63,12.0,10.0,40,25,,6.21,29.940945,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHJA 141725Z AUTO 01019KT 340V060 9999 BKN042/// OVC047/// 11/06 Q1015,EHJA,2015-06-14T17:25:00Z,53.82,2.95,11.0,6.0,10,19,,6.21,29.970472,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHFZ 141725Z AUTO 03015KT 9999 FEW017/// SCT045/// 11/07 Q1015,EHFZ,2015-06-14T17:25:00Z,54.12,4.02,11.0,7.0,30,15,,6.21,29.970472,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHFD 141725Z AUTO 34015KT 320V050 9999 FEW021/// 11/04 Q1015,EHFD,2015-06-14T17:25:00Z,54.85,4.7,11.0,4.0,340,15,,6.21,29.970472,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHDV 141725Z AUTO 02020KT 9999 FEW021/// SCT024/// 11/07 Q1016,EHDV,2015-06-14T17:25:00Z,54.32,2.93,11.0,7.0,20,20,,6.21,30.0,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
EHAK 141725Z AUTO 36017KT 330V040 9999 FEW033/// 10/02 Q1016,EHAK,2015-06-14T17:25:00Z,55.42,3.82,10.0,2.0,360,17,,6.21,30.0,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,50.0
LIYW 141725Z AUTO 31005KT 9999 -RA SCT010 18/18 A2985 RMK AO2,LIYW,2015-06-14T17:25:00Z,46.02,12.62,18.0,18.0,310,5,,6.21,29.84941,,,TRUE,TRUE,,,,,,-RA,SCT,1000,,,,,,,VFR,,,,,,,,,,,,SPECI,126.0
KVIH 141725Z AUTO 20009KT 10SM FEW019 SCT023 26/23 A3000 RMK AO2 T02610228 $,KVIH,2015-06-14T17:25:00Z,38.13,-91.77,26.1,22.8,200,9,,10.0,30.0,,,TRUE,TRUE,TRUE,,,,,,FEW,1900,SCT,2300,,,,,VFR,,,,,,,,,,,,METAR,333.0
KUCP 141725Z AUTO 21003KT VCTS SCT024 BKN029 BKN034 27/23 A3006 RMK AO2 BKN V SCT LTG DSNT N AND NE TSB06E21B23 $,KUCP,2015-06-14T17:25:00Z,41.03,-80.42,27.0,23.0,210,3,,,30.059055,,,TRUE,TRUE,TRUE,,,,,VCTS,SCT,2400,BKN,2900,BKN,3400,,,,,,,,,,,,,,,METAR,327.0
KRAP 141725Z 00000KT 10SM FEW015 SCT023 OVC050 16/12 A3002 RMK AO2 T01610122,KRAP,2015-06-14T17:25:00Z,44.05,-103.05,16.1,12.2,0,0,,10.0,30.02067,,,,TRUE,,,,,,,FEW,1500,SCT,2300,OVC,5000,,,VFR,,,,,,,,,,,,METAR,965.0
KPQL 141725Z AUTO 11011G20KT 10SM BKN024 BKN039 31/24 A3008 RMK AO2 WSHFT 1705 T03060244 TSNO,KPQL,2015-06-14T17:25:00Z,30.47,-88.53,30.6,24.4,110,11,20,10.0,30.079725,,,TRUE,TRUE,,,TRUE,,,,BKN,2400,BKN,3900,,,,,MVFR,,,,,,,,,,,,METAR,6.0
KFNT 141725Z 21005KT 10SM -RA SCT014 SCT060 BKN090 24/21 A2995 RMK AO2 P0001 T02390211,KFNT,2015-06-14T17:25:00Z,42.97,-83.75,23.9,21.1,210,5,,10.0,29.949802,,,,TRUE,,,,,,-RA,SCT,1400,SCT,6000,BKN,9000,,,VFR,,,,,,0.01,,,,,,METAR,233.0
KARA 141725Z 24006KT 2 1/2SM TSRA BR SCT019 BKN048 OVC100 25/23 A3001 RMK AO2 PK WND 17033/1709 LTG DSNT NW RAB09 TSB04 P0054 T02500228,KARA,2015-06-14T17:25:00Z,30.03,-91.88,25.0,22.8,240,6,,2.5,30.008858,,,,TRUE,,,,,,TSRA BR,SCT,1900,BKN,4800,OVC,10000,,,IFR,,,,,,0.54,,,,,,METAR,18.0
EHRD 141725Z AUTO 36006KT 330V040 9999 SCT044 16/12 Q1012 NOSIG,EHRD,2015-06-14T17:25:00Z,51.95,4.45,16.0,12.0,360,6,,6.21,29.88189,,,TRUE,,,TRUE,,,,,SCT,4400,,,,,,,VFR,,,,,,,,,,,,METAR,-5.0
EHGG 141725Z AUTO 03007KT 4200 DZ FEW015CB SCT016 OVC020 13/12 Q1013 TEMPO BKN014,EHGG,2015-06-14T17:25:00Z,53.12,6.57,13.0,12.0,30,7,,2.61,29.911417,,,TRUE,,,,,,,DZ,FEW,1500,SCT,1600,OVC,2000,,,IFR,,,,,,,,,,,,METAR,4.0
EHBK 141725Z AUTO 35005KT 310V020 9999 NSC 22/12 Q1010 NOSIG,EHBK,2015-06-14T17:25:00Z,50.92,5.77,22.0,12.0,350,5,,6.21,29.822834,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,METAR,116.0
EHAM 141725Z 04008KT 9999 FEW008 SCT012 BKN016 14/12 Q1013 NOSIG,EHAM,2015-06-14T17:25:00Z,52.32,4.78,14.0,12.0,40,8,,6.21,29.911417,,,,,,TRUE,,,,,FEW,800,SCT,1200,BKN,1600,,,MVFR,,,,,,,,,,,,METAR,9.0
EHWO 141725Z AUTO 33008KT 9999 BKN016 BKN071 18/13 Q1012 WHT,EHWO,2015-06-14T17:25:00Z,51.45,4.32,18.0,13.0,330,8,,6.21,29.88189,,,TRUE,,,,,,,,BKN,1600,BKN,7100,,,,,MVFR,,,,,,,,,,,,METAR,17.0
EHVL 141725Z AUTO 04022KT 8000 -DZ SCT005 OVC006 12/11 Q1013 REDZ YLO,EHVL,2015-06-14T17:25:00Z,53.23,4.92,12.0,11.0,40,22,,4.97,29.911417,,,TRUE,,,,,,,-DZ,SCT,500,OVC,600,,,,,IFR,,,,,,,,,,,,METAR,5.0
EHVK 141725Z AUTO 36009KT 9999 BKN074 19/13 Q1011 BLU,EHVK,2015-06-14T17:25:00Z,51.63,5.7,19.0,13.0,360,9,,6.21,29.852362,,,TRUE,,,,,,,,BKN,7400,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
EHLW 141725Z AUTO 03011KT 4200 DZ FEW006 SCT009 BKN010 12/11 Q1013 GRN,EHLW,2015-06-14T17:25:00Z,53.22,5.75,12.0,11.0,30,11,,2.61,29.911417,,,TRUE,,,,,,,DZ,FEW,600,SCT,900,BKN,1000,,,IFR,,,,,,,,,,,,METAR,2.0
EHGR 141725Z AUTO 35010KT 9999 BKN054 BKN060 18/13 Q1011 BLU,EHGR,2015-06-14T17:25:00Z,51.57,4.92,18.0,13.0,350,10,,6.21,29.852362,,,TRUE,,,,,,,,BKN,5400,BKN,6000,,,,,VFR,,,,,,,,,,,,METAR,13.0
EHDL 141725Z AUTO 01007KT 9999 FEW032 BKN056 OVC066 17/13 Q1012 BLU,EHDL,2015-06-14T17:25:00Z,52.07,5.87,17.0,13.0,10,7,,6.21,29.88189,,,TRUE,,,,,,,,FEW,3200,BKN,5600,OVC,6600,,,VFR,,,,,,,,,,,,METAR,52.0
CYKZ 141725Z 11007KT 8SM -RA OVC013 17/16 A3001 RMK SC8 SLP164 DENSITY ALT 900FT,CYKZ,2015-06-14T17:25:00Z,43.87,-79.37,17.0,16.0,110,7,,8.0,30.008858,1016.4,,,,,,,,,-RA,OVC,1300,,,,,,,MVFR,,,,,,,,,,,,SPECI,198.0
CYQA 141724Z AUTO 13008KT 9SM -RA FEW044 BKN055 BKN068 OVC096 20/15 A3000 RMK SLP161 DENSITY ALT 1600FT,CYQA,2015-06-14T17:24:00Z,44.97,-79.28,20.0,15.0,130,8,,9.0,30.0,1016.1,,TRUE,,,,,,,-RA,FEW,4400,BKN,5500,BKN,6800,OVC,9600,VFR,,,,,,,,,,,,SPECI,282.0
CYBN 141724Z AUTO 14007KT 8SM -RA OVC018 OVC049 OVC069 18/17 A2999,CYBN,2015-06-14T17:24:00Z,44.27,-79.92,18.0,17.0,140,7,,8.0,29.991142,,,TRUE,,,,,,,-RA,OVC,1800,OVC,4900,OVC,6900,,,MVFR,,,,,,,,,,,,SPECI,223.0
KMLC 141724Z AUTO VRB06KT 10SM FEW027 BKN038 OVC048 29/22 A2997 RMK AO2 T02890222,KMLC,2015-06-14T17:24:00Z,34.88,-95.78,28.9,22.2,0,6,,10.0,29.970472,,,TRUE,TRUE,,,,,,,FEW,2700,BKN,3800,OVC,4800,,,VFR,,,,,,,,,,,,METAR,232.0
KMKG 141724Z 22008KT 10SM OVC005 24/21 A2992 RMK AO2 T02390211,KMKG,2015-06-14T17:24:00Z,43.17,-86.23,23.9,21.1,220,8,,10.0,29.920275,,,,TRUE,,,,,,,OVC,500,,,,,,,IFR,,,,,,,,,,,,METAR,191.0
KGTF 141724Z 00000KT 10SM BKN029 OVC037 12/05 A3017 RMK AO2 T01220050,KGTF,2015-06-14T17:24:00Z,47.47,-111.38,12.2,5.0,0,0,,10.0,30.171259,,,,TRUE,,,,,,,BKN,2900,OVC,3700,,,,,MVFR,,,,,,,,,,,,METAR,1119.0
KDKK 141724Z AUTO 24005KT 5SM -RA BR SCT009 BKN014 OVC040 22/21 A3002 RMK AO2 P0004 T02220211,KDKK,2015-06-14T17:24:00Z,42.5,-79.28,22.2,21.1,240,5,,5.0,30.02067,,,TRUE,TRUE,,,,,,-RA BR,SCT,900,BKN,1400,OVC,4000,,,MVFR,,,,,,0.04,,,,,,METAR,202.0
KCNO 141724Z 30003KT 6SM HZ FEW015 22/16 A2984 RMK AO2 T02170156,KCNO,2015-06-14T17:24:00Z,33.98,-117.62,21.7,15.6,300,3,,6.0,29.840551,,,,TRUE,,,,,,HZ,FEW,1500,,,,,,,VFR,,,,,,,,,,,,METAR,207.0
YPXM 141724Z AUTO 08005KT 9999 // BKN014 25/22 Q1014,YPXM,2015-06-14T17:24:00Z,-10.45,105.67,25.0,22.0,80,5,,6.21,29.940945,,,TRUE,,,,,,,,BKN,1400,,,,,,,MVFR,,,,,,,,,,,,SPECI,259.0
PATE 141723Z AUTO 18029G38KT 10SM OVC010 07/04 A3045 RMK AO2 PK WND 18039/1708,PATE,2015-06-14T17:23:00Z,65.23,-166.33,7.0,4.0,180,29,38,10.0,30.448818,,,TRUE,TRUE,,,,,,,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,SPECI,90.0
KUNO 141723Z AUTO 22008KT 1 3/4SM VCTS RA BR FEW019 BKN047 OVC070 23/22 A3006 RMK AO2 RAB00 P0010 T02330217,KUNO,2015-06-14T17:23:00Z,36.88,-91.9,23.3,21.7,220,8,,1.75,30.059055,,,TRUE,TRUE,,,,,,VCTS RA BR,FEW,1900,BKN,4700,OVC,7000,,,IFR,,,,,,0.1,,,,,,SPECI,372.0
KORD 141723Z 23012G17KT 10SM SCT020 SCT029 BKN044 BKN200 25/20 A2992 RMK AO2 T02500200,KORD,2015-06-14T17:23:00Z,41.98,-87.93,25.0,20.0,230,12,17,10.0,29.920275,,,,TRUE,,,,,,,SCT,2000,SCT,2900,BKN,4400,BKN,20000,VFR,,,,,,,,,,,,SPECI,200.0
KJXN 141723Z VRB03KT 3SM -RA BR SCT028 BKN033 BKN045 22/21 A2996 RMK AO2 P0010 T02170206,KJXN,2015-06-14T17:23:00Z,42.27,-84.47,21.7,20.6,0,3,,3.0,29.958662,,,,TRUE,,,,,,-RA BR,SCT,2800,BKN,3300,BKN,4500,,,MVFR,,,,,,0.1,,,,,,SPECI,305.0
KCRS 141723Z AUTO 18008KT 10SM -RA FEW025 BKN046 BKN090 26/22 A2996 RMK AO2 LTG DSNT NW RAB16 P0000 T02610217 $,KCRS,2015-06-14T17:23:00Z,32.03,-96.4,26.1,21.7,180,8,,10.0,29.958662,,,TRUE,TRUE,TRUE,,,,,-RA,FEW,2500,BKN,4600,BKN,9000,,,VFR,,,,,,0.0050,,,,,,SPECI,133.0
KAOO 141723Z AUTO 19005KT 10SM VCTS FEW022 FEW031 26/20 A3010 RMK AO2 LTG DSNT SW AND W T02610200,KAOO,2015-06-14T17:23:00Z,40.3,-78.32,26.1,20.0,190,5,,10.0,30.100393,,,TRUE,TRUE,,,,,,VCTS,FEW,2200,FEW,3100,,,,,VFR,,,,,,,,,,,,SPECI,455.0
KACV 141723Z AUTO 25006KT 4SM BR OVC010 12/10 A2984 RMK AO2 T01220100,KACV,2015-06-14T17:23:00Z,40.98,-124.1,12.2,10.0,250,6,,4.0,29.840551,,,TRUE,TRUE,,,,,,BR,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,SPECI,67.0
KSKF 141723Z AUTO 02007KT 10SM TS FEW002 BKN023 25/24 A2990 RMK AO2 LTG DSNT NE AND S-SW AND NW RAE23 TSB10 $,KSKF,2015-06-14T17:23:00Z,29.37,-98.57,25.0,24.0,20,7,,10.0,29.899607,,,TRUE,TRUE,TRUE,,,,,TS,FEW,200,BKN,2300,,,,,MVFR,,,,,,,,,,,,SPECI,210.0
CYET 141723Z AUTO 34010KT 9SM -RA BKN025 BKN034 OVC085 11/06 A3022 RMK SLP250,CYET,2015-06-14T17:23:00Z,53.57,-116.47,11.0,6.0,340,10,,9.0,30.221457,1025.0,,TRUE,,,,,,,-RA,BKN,2500,BKN,3400,OVC,8500,,,MVFR,,,,,,,,,,,,SPECI,925.0
KSEG 141722Z AUTO 00000KT 10SM SCT026 SCT032 OVC038 27/20 A3006 RMK AO2 T02720200,KSEG,2015-06-14T17:22:00Z,40.82,-76.87,27.2,20.0,0,0,,10.0,30.059055,,,TRUE,TRUE,,,,,,,SCT,2600,SCT,3200,OVC,3800,,,VFR,,,,,,,,,,,,SPECI,134.0
KMKE 141722Z 34004KT 10SM -RA SCT007 BKN013 OVC017 22/21 A2991 RMK AO2 P0002 T02220206,KMKE,2015-06-14T17:22:00Z,42.95,-87.9,22.2,20.6,340,4,,10.0,29.911417,,,,TRUE,,,,,,-RA,SCT,700,BKN,1300,OVC,1700,,,MVFR,,,,,,0.02,,,,,,SPECI,206.0
KMIW 141722Z AUTO 18007KT 10SM SCT021 BKN035 OVC060 25/20 A2993 RMK AO2 RAB03E14 P0000 T02500200,KMIW,2015-06-14T17:22:00Z,42.12,-92.92,25.0,20.0,180,7,,10.0,29.929134,,,TRUE,TRUE,,,,,,,SCT,2100,BKN,3500,OVC,6000,,,VFR,,,,,,0.0050,,,,,,SPECI,296.0
KFTW 141722Z 16011KT 10SM FEW025 SCT030 BKN036 32/23 A2991 RMK AO2 T03170228,KFTW,2015-06-14T17:22:00Z,32.83,-97.37,31.7,22.8,160,11,,10.0,29.911417,,,,TRUE,,,,,,,FEW,2500,SCT,3000,BKN,3600,,,VFR,,,,,,,,,,,,SPECI,214.0
